Company Name,Ticker,Exchange,GICS Sector,GICS Industry Group,GICS Industry,GICS Sub-Industry,Country
Oppenheimer Holdings Inc,OPY,"New York Stock Exchange, Inc.",Financials,Diversified Financials,Capital Markets,Investment Banking and Brokerage,US
Oracle Corp,ORCL,"New York Stock Exchange, Inc.",Information Technology,Software and Services,Software,Systems Software,US
O'Reilly Automotive Inc,ORLY,Nasdaq,Consumer Discretionary,Retailing,Specialty Retail,Automotive Retail,US
PACCAR Inc,PCAR,Nasdaq,Industrials,Capital Goods,Machinery,Construction Machinery and Heavy Trucks,US
Papa John's International Inc,PZZA,Nasdaq,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants,US
PayPal Holdings Inc,PYPL,Nasdaq,Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services,US
Pearson PLC,PSON.L,London Stock Exchange,Communication Services,Media and Entertainment,Media,Publishing,UK
Peloton Interactive Inc,PTON,Nasdaq,Consumer Discretionary,Consumer Durables and Apparel,Leisure Equipment & Products,Leisure Products,US
PepsiCo Inc,PEP,Nasdaq,Consumer Staples,"Food, Beverage and Tobacco",Beverages,Soft Drinks,US
PetroChina Co Ltd,PTR,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Consumable Fuels",Integrated Oil and Gas,US
Petroleo Brasileiro SA Petrobras,PETR3.SA,B3 S.A.,Energy,Energy,"Oil, Gas and Consumable Fuels",Integrated Oil and Gas,Brazil
Pfizer Inc,PFE,"New York Stock Exchange, Inc.",Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals,US
PG&E Corp,PCG,"New York Stock Exchange, Inc.",Utilities,Utilities,Electric Utilities,Electric Utilities,US
Phillips 66,PSX,"New York Stock Exchange, Inc.",Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Refining and Marketing,US
Physicians Realty Trust,DOC,"New York Stock Exchange, Inc.",Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs,US
Ping An Insurance (Group) Co. of China Ltd,2318.HK,Hong Kong Exchanges And Clearing Ltd,Financials,Insurance,Insurance,Life and Health Insurance,HK
Piramal Enterprises Ltd,PEL.BO,BSE LTD,Financials,Diversified Financials,Diversified Financial Services,Specialized Finance,India
Planet Fitness Inc,PLNT,"New York Stock Exchange, Inc.",Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Leisure Facilities,US
PNC Financial Services Group Inc,PNC,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Regional Banks,US
Porto Seguro SA,PSSA3.SA,B3 S.A.,Financials,Insurance,Insurance,Multi-line Insurance,Brazil
POSCO,PKX,"New York Stock Exchange, Inc.",Materials,Materials,Metals and Mining,Steel,US
Power Grid Corp Of India Ltd,POWERGRID.BO,BSE LTD,Utilities,Utilities,Electric Utilities,Electric Utilities,India
Prestige Consumer Healthcare Inc,PBH,"New York Stock Exchange, Inc.",Health Care,Pharmaceuticals and Biotechnology,Pharmaceuticals,Pharmaceuticals,US
Price (T. ROWE) Group,TROW,Nasdaq,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Banks,US
Procter & Gamble Co,PG,"New York Stock Exchange, Inc.",Consumer Staples,Household and Personal Products,Household Products,Household Products,US
Prudential Financial Inc,PRU,"New York Stock Exchange, Inc.",Financials,Insurance,Insurance,Life and Health Insurance,US
Public Storage,PSA,"New York Stock Exchange, Inc.",Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,US
Quaker Chemical Corp,KWR,"New York Stock Exchange, Inc.",Materials,Materials,Chemicals,Specialty Chemicals,US
QUALCOMM Inc,QCOM,Nasdaq,Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,US
Raia Drogasil SA,RADL3.SA,B3 S.A.,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Drug Retail,Brazil
Raytheon Technologies Corp,RTX,"New York Stock Exchange, Inc.",Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,US
RBC Bearings Inc,ROLL,Nasdaq,Industrials,Capital Goods,Machinery,Industrial Machinery,US
REC Ltd,RECLTD.BO,BSE LTD,Financials,Diversified Financials,Diversified Financial Services,Specialized Finance,India
Reckitt Benckiser Group PLC,RKT.L,London Stock Exchange,Consumer Staples,Household and Personal Products,Household Products,Household Products,UK
Regeneron Pharmaceuticals Inc,REGN,Nasdaq,Health Care,Pharmaceuticals and Biotechnology,Biotechnology,Biotechnology,US
Regions Financial Corp,RF,"New York Stock Exchange, Inc.",Financials,Banks,Banks,Regional Banks,US
Reliance Industries Ltd,RELIANCE.BO,BSE LTD,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Refining and Marketing,India
Restaurant Brands International Inc,QSR.TO,Toronto Stock Exchange,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants,Canada
Revlon Inc,REV,"New York Stock Exchange, Inc.",Consumer Staples,Household and Personal Products,Personal Products,Personal Products,US
